,Year,State,County,Commodity,Data Item,Irrig_status,Value
27,2014,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,82.7
28,2014,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,179.8
29,2014,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,92.7
30,2013,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,155.9
31,2013,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,30.5
32,2013,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,145.9
33,2013,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,39.3
34,2013,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,148.6
35,2013,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,52.2
36,2012,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,153.7
37,2012,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,15.5
38,2012,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,147.7
39,2012,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,24.9
40,2012,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,179.5
41,2012,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,32.3
42,2012,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,159.2
43,2012,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,20.5
44,2012,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,127.9
45,2012,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,32.8
46,2012,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,186.5
47,2012,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,24.2
48,2012,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,146.2
49,2012,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,12.2
50,2011,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,175.1
51,2011,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,72.7
52,2011,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,156.0
53,2011,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,93.7
54,2011,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,147.1
55,2011,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,67.5
56,2011,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,175.0
57,2011,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,80.8
58,2011,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,190.3
59,2011,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,70.4
60,2011,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,192.5
61,2011,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,71.0
62,2011,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,188.9
63,2011,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,78.5
64,2011,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,206.7
65,2011,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,65.9
66,2010,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,210.0
67,2010,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,86.7
68,2010,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,200.1
69,2010,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,96.0
70,2010,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,185.2
71,2010,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,67.9
72,2010,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,204.8
73,2010,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,87.0
74,2010,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,200.3
75,2010,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,85.6
76,2010,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,166.4
77,2010,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,81.1
78,2010,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,186.5
79,2010,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,87.0
80,2010,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,188.7
81,2010,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,77.3
82,2009,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,211.0
83,2009,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,116.0
84,2009,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,194.0
85,2009,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,107.0
86,2009,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,211.0
87,2009,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,128.0
88,2009,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,192.0
89,2009,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,91.0
90,2007,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,208.0
91,2007,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,63.0
92,2007,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,183.0
93,2007,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,85.0
94,2007,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,169.0
95,2007,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,81.0
96,2007,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,210.0
97,2007,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,87.0
98,2007,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,206.0
99,2007,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,73.0
100,2007,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,202.0
101,2007,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,53.0
102,2007,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,209.0
103,2007,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,91.0
104,2007,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,173.0
105,2007,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,79.0
106,2007,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,168.0
107,2007,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,66.0
108,2007,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,189.0
109,2007,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,67.0
110,2006,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,195.0
111,2006,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,31.0
112,2006,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,171.0
113,2006,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,45.0
114,2006,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,122.0
115,2006,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,29.0
116,2006,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,178.0
117,2006,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,36.0
118,2006,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,155.0
119,2006,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,35.0
120,2006,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,201.0
121,2006,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,22.0
122,2006,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,189.0
123,2006,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,30.0
124,2006,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,139.0
125,2006,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,24.0
126,2006,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,174.0
127,2006,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,32.0
128,2006,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,182.0
129,2006,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,39.0
130,2005,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,168.0
131,2005,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,48.0
132,2005,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,165.0
133,2005,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,67.0
134,2005,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,170.0
135,2005,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,50.0
136,2005,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,177.0
137,2005,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,60.0
138,2005,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,205.0
139,2005,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,65.0
140,2005,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,189.0
141,2005,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,36.0
142,2005,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,203.0
143,2005,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,52.0
144,2005,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,168.0
145,2005,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,57.0
146,2005,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,168.0
147,2005,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,64.0
148,2005,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,169.0
149,2005,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,62.0
150,2004,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,183.0
151,2004,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,28.0
152,2004,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,180.0
153,2004,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,52.0
154,2004,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,144.0
155,2004,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,29.0
156,2004,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,168.0
157,2004,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,48.0
158,2004,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,202.0
159,2004,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,43.0
160,2004,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,175.0
161,2004,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,29.0
162,2004,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,186.0
163,2004,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,48.0
164,2004,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,160.0
165,2004,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,49.0
166,2004,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,187.0
167,2004,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,79.0
168,2004,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,178.0
169,2004,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,77.0
170,2003,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,151.0
171,2003,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,54.0
172,2003,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,150.0
173,2003,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,31.0
174,2003,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,109.0
175,2003,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,30.0
176,2003,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,165.0
177,2003,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,28.0
178,2003,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,171.0
179,2003,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,26.0
180,2003,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,153.0
181,2003,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,24.0
182,2003,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,152.0
183,2003,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,20.0
184,2003,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,138.0
185,2003,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,35.0
186,2003,KANSAS,LOGAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,140.0
187,2003,KANSAS,LOGAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,29.0
188,2003,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,176.0
189,2003,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,27.0
190,2002,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,123.0
191,2002,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,22.0
192,2002,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,101.0
193,2002,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,22.0
194,2002,KANSAS,GRAHAM,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,131.0
195,2002,KANSAS,GRAHAM,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,20.0
